web-scraper-order,web-scraper-start-url,company,company-href,model,model-href
"1555570111-127","https://www.gsmarena.com/","Wiko","https://www.gsmarena.com/wiko-phones-96.php","WIM","https://www.gsmarena.com/wiko_wim-8994.php"
"1555570203-1178","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","iPhone 6s","https://www.gsmarena.com/apple_iphone_6s-7242.php"
"1555570190-1013","https://www.gsmarena.com/","LG","https://www.gsmarena.com/lg-phones-20.php","Stylus 3","https://www.gsmarena.com/lg_stylus_3-8492.php"
"1555570165-814","https://www.gsmarena.com/","Xiaomi","https://www.gsmarena.com/xiaomi-phones-80.php","Redmi Note 7","https://www.gsmarena.com/xiaomi_redmi_note_7-9513.php"
"1555570121-262","https://www.gsmarena.com/","BLU","https://www.gsmarena.com/blu-phones-67.php","Studio G4","https://www.gsmarena.com/blu_studio_g4-9277.php"
"1555570151-714","https://www.gsmarena.com/","vivo","https://www.gsmarena.com/vivo-phones-98.php","X21 UD","https://www.gsmarena.com/vivo_x21_ud-9123.php"
"1555570137-483","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","Axon 9 Pro","https://www.gsmarena.com/zte_axon_9_pro-9069.php"
"1555570145-632","https://www.gsmarena.com/","BlackBerry","https://www.gsmarena.com/blackberry-phones-36.php","Bold Touch 9930","https://www.gsmarena.com/blackberry_bold_touch_9930-3755.php"
"1555570137-503","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","Grand X View 2","https://www.gsmarena.com/zte_grand_x_view_2-8779.php"
"1555570145-611","https://www.gsmarena.com/","BlackBerry","https://www.gsmarena.com/blackberry-phones-36.php","Classic","https://www.gsmarena.com/blackberry_classic-6458.php"
"1555570132-434","https://www.gsmarena.com/","Vodafone","https://www.gsmarena.com/vodafone-phones-53.php","Smart prime 7","https://www.gsmarena.com/vodafone_smart_prime_7-8099.php"
"1555570106-93","https://www.gsmarena.com/","YU","https://www.gsmarena.com/yu-phones-100.php","Yureka","https://www.gsmarena.com/yu_yureka-6987.php"
"1555570172-963","https://www.gsmarena.com/","HTC","https://www.gsmarena.com/htc-phones-45.php","Desire 630","https://www.gsmarena.com/htc_desire_630-7941.php"
"1555570193-1062","https://www.gsmarena.com/","Sony","https://www.gsmarena.com/sony-phones-7.php","Xperia X","https://www.gsmarena.com/sony_xperia_x-7948.php"
"1555570205-1245","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy S8 Active","https://www.gsmarena.com/samsung_galaxy_s8_active-8676.php"
"1555570114-172","https://www.gsmarena.com/","Tecno","https://www.gsmarena.com/tecno-phones-120.php","Spark Pro","https://www.gsmarena.com/tecno_spark_pro-9455.php"
"1555570167-880","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","K6 Power","https://www.gsmarena.com/lenovo_k6_power-8317.php"
"1555570199-1126","https://www.gsmarena.com/","Huawei","https://www.gsmarena.com/huawei-phones-58.php","Mate 20 X","https://www.gsmarena.com/huawei_mate_20_x-9369.php"
"1555570170-934","https://www.gsmarena.com/","Motorola","https://www.gsmarena.com/motorola-phones-4.php","Moto 360 Sport (1st gen)","https://www.gsmarena.com/motorola_moto_360_sport_(1st_gen)-7685.php"
"1555570203-1148","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","iPad Pro 12.9 (2018)","https://www.gsmarena.com/apple_ipad_pro_12_9_(2018)-9387.php"
"1555570167-878","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","P2","https://www.gsmarena.com/lenovo_p2-8319.php"
"1555570167-872","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","Tab3 8 Plus","https://www.gsmarena.com/lenovo_tab3_8_plus-8559.php"
"1555570205-1263","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy C7 Pro","https://www.gsmarena.com/samsung_galaxy_c7_pro-8435.php"
"1555570129-385","https://www.gsmarena.com/","Energizer","https://www.gsmarena.com/energizer-phones-106.php","Ultimate U650S","https://www.gsmarena.com/energizer_ultimate_u650s-9546.php"
"1555570145-612","https://www.gsmarena.com/","BlackBerry","https://www.gsmarena.com/blackberry-phones-36.php","Z3","https://www.gsmarena.com/blackberry_z3-6163.php"
"1555570137-478","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","Axon 10 Pro 5G","https://www.gsmarena.com/zte_axon_10_pro_5g-9610.php"
"1555570132-422","https://www.gsmarena.com/","Vodafone","https://www.gsmarena.com/vodafone-phones-53.php","Smart E9","https://www.gsmarena.com/vodafone_smart_e9-9484.php"
"1555570165-823","https://www.gsmarena.com/","Xiaomi","https://www.gsmarena.com/xiaomi-phones-80.php","Mi A2 Lite (Redmi 6 Pro)","https://www.gsmarena.com/xiaomi_mi_a2_lite_(redmi_6_pro)-9247.php"
